lat, long
51.45579, -2.6041
51.45005, -2.5808
51.45751, -2.58619
51.45529, -2.62706
51.46459, -2.60996
51.44828, -2.61859
51.44925, -2.60878
51.44914, -2.59767
51.45699, -2.61326
51.46045, -2.59509
